model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,gold,diagnosis,HCC068,Aplastic Anemia,10.679
adult,silver,diagnosis,HCC068,Aplastic Anemia,10.651
adult,bronze,diagnosis,HCC068,Aplastic Anemia,10.586
adult,catastrophic,diagnosis,HCC068,Aplastic Anemia,10.578
adult,platinum,diagnosis,HCC069,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn",10.803
adult,gold,diagnosis,HCC069,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn",10.679
adult,silver,diagnosis,HCC069,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn",10.651
adult,bronze,diagnosis,HCC069,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn",10.586
adult,catastrophic,diagnosis,HCC069,"Acquired Hemolytic Anemia, Including Hemolytic Disease of Newborn",10.578
adult,platinum,diagnosis,HCC070,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,1.694
adult,gold,diagnosis,HCC070,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,1.605
adult,silver,diagnosis,HCC070,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,1.548
adult,bronze,diagnosis,HCC070,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,1.475
adult,catastrophic,diagnosis,HCC070,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,1.464
adult,platinum,diagnosis,HCC071,"Sickle-Cell Disorders, Except Sickle- Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major",1.653
adult,gold,diagnosis,HCC071,"Sickle-Cell Disorders, Except Sickle- Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major",1.584
adult,silver,diagnosis,HCC071,"Sickle-Cell Disorders, Except Sickle- Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major",1.537
adult,bronze,diagnosis,HCC071,"Sickle-Cell Disorders, Except Sickle- Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major",1.475
adult,catastrophic,diagnosis,HCC071,"Sickle-Cell Disorders, Except Sickle- Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major",1.464
adult,platinum,diagnosis,HCC073,Combined and Other Severe Immunodeficiencies,4.303
adult,gold,diagnosis,HCC073,Combined and Other Severe Immunodeficiencies,4.214
adult,silver,diagnosis,HCC073,Combined and Other Severe Immunodeficiencies,4.187
adult,bronze,diagnosis,HCC073,Combined and Other Severe Immunodeficiencies,4.133
adult,catastrophic,diagnosis,HCC073,Combined and Other Severe Immunodeficiencies,4.127
adult,platinum,diagnosis,HCC074,Disorders of the Immune Mechanism,4.303
adult,gold,diagnosis,HCC074,Disorders of the Immune Mechanism,4.214
adult,silver,diagnosis,HCC074,Disorders of the Immune Mechanism,4.187
adult,bronze,diagnosis,HCC074,Disorders of the Immune Mechanism,4.133
