icd10_code,v28_hcc
D609,HCC109
D6101,HCC109
D6102,HCC109
D6103,HCC109
D6109,HCC109
D612,HCC109
D613,HCC109
D61818,HCC109
D6182,HCC109
D6189,HCC109
D640,HCC109
D641,HCC109
D643,HCC109
D644,HCC109
D66,HCC111
D66,HCC111
D66,HCC112
D67,HCC111
D67,HCC111
D67,HCC112
D6800,HCC112
D6801,HCC112
D68020,HCC112
D68021,HCC112
D68022,HCC112
D68023,HCC112
D68029,HCC112
D6803,HCC112
D6804,HCC112
D6809,HCC112
D681,HCC112
D682,HCC112
D68311,HCC112
D691,HCC112
D693,HCC112
D6941,HCC112
D6942,HCC112
D6949,HCC112
D700,HCC115
D704,HCC115
D71,HCC115
D711,HCC115
D718,HCC115
D719,HCC115
D720,HCC115
D7581,HCC19
D7584,HCC112
D761,HCC115
D763,HCC115
D800,HCC115
D802,HCC115
D803,HCC115
D804,HCC115
D805,HCC115
D810,HCC114
D811,HCC114
D812,HCC114
D8130,HCC114
D8131,HCC114
D8132,HCC114
D8139,HCC114
D814,HCC115
D815,HCC114
D816,HCC114
D817,HCC114
D8182,HCC114
D8189,HCC114
D819,HCC114
D820,HCC115
D821,HCC115
D830,HCC114
D831,HCC114
D832,HCC114
D838,HCC114
D839,HCC114
D841,HCC115
D863,HCC387
D8686,HCC93
D8687,HCC93
D89810,HCC454
D89811,HCC454
D89812,HCC454
D89813,HCC454
D8984,HCC115
E035,HCC202
E0800,HCC36
E0801,HCC36
E0810,HCC36
E0811,HCC36
E0821,HCC37
E0822,HCC37
E0829,HCC37
E08311,HCC298
E08311,HCC37
E08319,HCC37
E083211,HCC298
E083211,HCC37
E083212,HCC298
E083212,HCC37
E083213,HCC298
E083213,HCC37
E083219,HCC298
E083219,HCC37
E083291,HCC37
E083292,HCC37
E083293,HCC37
E083299,HCC37
E083311,HCC298
E083311,HCC37
E083312,HCC298
E083312,HCC37
E083313,HCC298
E083313,HCC37
E083319,HCC298
E083319,HCC37
E083391,HCC37
E083392,HCC37
E083393,HCC37
E083399,HCC37
E083411,HCC298
E083411,HCC37
E083412,HCC298
E083412,HCC37
E083413,HCC298
